state_id,scenario_id,primary_rule_id,state_name,required_param_state,missing_parameters,context_state,user_revision_state,tool_result_state,gate_condition,gate_state,expected_action,expected_tool,argument_rule,ask_for,gold_behavior,case_type,generation_budget,keep
S004_A001,S004,,,全部齐全,,参数全部在当前轮,未修改,未调用,,不适用,CALL_TOOL,,,,,,,
S004_A002,S004,,,全部齐全,,参数全部在当前轮,未修改,未调用,,未满足,DIRECT_ANSWER,,,,,,,
S004_A003,S004,,,全部齐全,,参数全部在当前轮,未修改,成功,,不适用,RESPOND_TOOL_RESULT,,,,,,,
S004_A004,S004,,,全部齐全,,参数全部在当前轮,未修改,空结果,,不适用,RECOVER_TOOL_ERROR,,,,,,,
S004_A005,S004,,,全部齐全,,参数全部在当前轮,未修改,工具报错,,不适用,RECOVER_TOOL_ERROR,,,,,,,
S004_A006,S004,,,全部齐全,,部分参数在历史轮,未修改,未调用,,不适用,CALL_TOOL,,,,,,,
S004_A007,S004,,,全部齐全,,部分参数在历史轮,修改参数,未调用,,不适用,CALL_TOOL,,,,,,,
S004_A008,S004,,,全部齐全,,部分参数在历史轮,撤销参数,未调用,,不适用,CALL_TOOL,,,,,,,
S004_A009,S004,,,全部齐全,,全部参数在历史轮,未修改,未调用,,不适用,CALL_TOOL,,,,,,,
S004_A010,S004,,,全部齐全,,全部参数在历史轮,修改参数,未调用,,不适用,CALL_TOOL,,,,,,,
S004_A011,S004,,,全部齐全,,全部参数在历史轮,撤销参数,未调用,,不适用,CALL_TOOL,,,,,,,
S004_A012,S004,,,全部齐全,,历史信息与当前轮冲突,未修改,未调用,,不适用,CALL_TOOL,,,,,,,
S004_A013,S004,,,全部齐全,,历史信息与当前轮冲突,修改参数,未调用,,不适用,CALL_TOOL,,,,,,,
S004_A014,S004,,,全部齐全,,历史信息与当前轮冲突,撤销参数,未调用,,不适用,CALL_TOOL,,,,,,,
S004_A015,S004,,,缺1个,,无相关上下文,未修改,未调用,,不适用,ASK_USER,,,,,,,
S004_A016,S004,,,缺1个,,部分参数在历史轮,未修改,未调用,,不适用,ASK_USER,,,,,,,
S004_A017,S004,,,缺1个,,部分参数在历史轮,修改参数,未调用,,不适用,ASK_USER,,,,,,,
S004_A018,S004,,,缺1个,,部分参数在历史轮,撤销参数,未调用,,不适用,ASK_USER,,,,,,,
S004_A019,S004,,,缺1个,,全部参数在历史轮,未修改,未调用,,不适用,CALL_TOOL,,,,,,,
S004_A020,S004,,,缺1个,,全部参数在历史轮,修改参数,未调用,,不适用,CALL_TOOL,,,,,,,
S004_A021,S004,,,缺1个,,全部参数在历史轮,撤销参数,未调用,,不适用,CALL_TOOL,,,,,,,
S004_A022,S004,,,缺1个,,历史信息与当前轮冲突,未修改,未调用,,不适用,ASK_USER,,,,,,,
S004_A023,S004,,,缺1个,,历史信息与当前轮冲突,修改参数,未调用,,不适用,ASK_USER,,,,,,,
S004_A024,S004,,,缺1个,,历史信息与当前轮冲突,撤销参数,未调用,,不适用,ASK_USER,,,,,,,
